"DicTerm","Agency","Communion"
"able","X",NA
"accept",NA,"X"
"accepts",NA,"X"
"accepted",NA,"X"
"accepting",NA,"X"
"accommodate",NA,"X"
"accommodates",NA,"X"
"accommodated",NA,"X"
"accommodating",NA,"X"
"accompany",NA,"X"
"accompanies",NA,"X"
"accompanied",NA,"X"
"accompanying",NA,"X"
"accomplish","X",NA
"accomplishes","X",NA
"accomplished","X",NA
"accomplishing","X",NA
"accord",NA,"X"
"accuracy","X",NA
"accurate","X",NA
"accurate","X",NA
"accurately","X",NA
"achieve","X",NA
"achieves","X",NA
"achieved","X",NA
"achieving","X",NA
"acquire","X",NA
"acquires","X",NA
"acquired","X",NA
"acquiring","X",NA
"actualize","X",NA
"actualizes","X",NA
"actualized","X",NA
"actualizing","X",NA
"adaptable","X",NA
"adaptably","X",NA
"adept","X",NA
"adeptly","X",NA
"affable",NA,"X"
"affably",NA,"X"
"affection",NA,"X"
"affectionate",NA,"X"
"affiliate",NA,"X"
"affiliates",NA,"X"
"affiliated",NA,"X"
"affiliating",NA,"X"
"affinity",NA,"X"
"agree",NA,"X"
"agrees",NA,"X"
"agreed",NA,"X"
"agreeing",NA,"X"
"aid",NA,"X"
"aids",NA,"X"
"aided",NA,"X"
"aiding",NA,"X"
"allegiant",NA,"X"
"alliance",NA,"X"
"alliances",NA,"X"
"allies",NA,"X"
"ally",NA,"X"
"altruism",NA,"X"
"altruistic",NA,"X"
"altruistically",NA,"X"
"ambition","X",NA
"ambitions","X",NA
"ambitious","X",NA
"ambitiously","X",NA
"amenable",NA,"X"
"amenably",NA,"X"
"amiable",NA,"X"
"amiably",NA,"X"
"amicable",NA,"X"
"amicably",NA,"X"
"amigo",NA,"X"
"amigos",NA,"X"
"apologize",NA,"X"
"apologizes",NA,"X"
"apologized",NA,"X"
"apologizing",NA,"X"
"appreciate",NA,"X"
"appreciates",NA,"X"
"appreciated",NA,"X"
"appreciating",NA,"X"
"apt","X",NA
"aptitude","X",NA
"aspire","X",NA
"aspires","X",NA
"aspired","X",NA
"aspiring","X",NA
"assert","X",NA
"asserts","X",NA
"asserted","X",NA
"asserting","X",NA
"assist",NA,"X"
"assists",NA,"X"
"assisted",NA,"X"
"assisting",NA,"X"
"attain","X",NA
"attains","X",NA
"attained","X",NA
"attaining","X",NA
"authoritative","X",NA
"autonomous","X",NA
"benevolent",NA,"X"
"benevolently",NA,"X"
"benevolence",NA,"X"
"buddies",NA,"X"
"buddy",NA,"X"
"capable","X",NA
"capably","X",NA
"capability","X",NA
"capabilities","X",NA
"care",NA,"X"
"cares",NA,"X"
"careful","X",NA
"carefully","X",NA
"caring",NA,"X"
"care",NA,"X"
"cares",NA,"X"
"cared",NA,"X"
"ceremony",NA,"X"
"ceremonies",NA,"X"
"ceremonial",NA,"X"
"ceremonially",NA,"X"
"charity",NA,"X"
"charities",NA,"X"
"charitable",NA,"X"
"charitably",NA,"X"
"chat",NA,"X"
"chats",NA,"X"
"chatted",NA,"X"
"chatting",NA,"X"
"choice","X",NA
"choices","X",NA
"civic",NA,"X"
"civil",NA,"X"
"civility",NA,"X"
"civilly",NA,"X"
"civilian",NA,"X"
"civilians",NA,"X"
"clever","X",NA
"cleverly","X",NA
"cleverness","X",NA
"closeness",NA,"X"
"collaborate",NA,"X"
"collaborates",NA,"X"
"collaborated",NA,"X"
"collaborating",NA,"X"
"collaboration",NA,"X"
"collaborative",NA,"X"
"colleague",NA,"X"
"colleagues",NA,"X"
"collective",NA,"X"
"collectively",NA,"X"
"collectivity",NA,"X"
"common good",NA,"X"
"common ground",NA,"X"
"communicate",NA,"X"
"communicates",NA,"X"
"communicated",NA,"X"
"communicating",NA,"X"
"communication",NA,"X"
"communications",NA,"X"
"companion",NA,"X"
"companions",NA,"X"
"compassion",NA,"X"
"compassionate",NA,"X"
"compassionately",NA,"X"
"compete","X",NA
"competes","X",NA
"competed","X",NA
"competing","X",NA
"competition","X",NA
"competitive","X",NA
"completion","X",NA
"compromise",NA,"X"
"compromises",NA,"X"
"compromised",NA,"X"
"compromising",NA,"X"
"concert",NA,"X"
"concerts",NA,"X"
"confer",NA,"X"
"confers",NA,"X"
"conferred",NA,"X"
"conferring",NA,"X"
"conference",NA,"X"
"conferences",NA,"X"
"confident","X",NA
"confidently","X",NA
"confidence","X",NA
"congratulate",NA,"X"
"congratulates",NA,"X"
"congratulated",NA,"X"
"congratulating",NA,"X"
"conquer","X",NA
"conquers","X",NA
"conquered","X",NA
"conquering","X",NA
"conscientious","X",NA
"conscientiously","X",NA
"consent",NA,"X"
"consents",NA,"X"
"consented",NA,"X"
"consenting",NA,"X"
"considerate",NA,"X"
"considerately",NA,"X"
"consideration",NA,"X"
"contemplate","X",NA
"contemplates","X",NA
"contemplated","X",NA
"contemplating","X",NA
"contend","X",NA
"contends","X",NA
"contended","X",NA
"contending","X",NA
"contest","X",NA
"contests","X",NA
"contested","X",NA
"contesting","X",NA
"contribute",NA,"X"
"contributes",NA,"X"
"contributed",NA,"X"
"contributing",NA,"X"
"contribution",NA,"X"
"contributions",NA,"X"
"converse",NA,"X"
"converses",NA,"X"
"conversed",NA,"X"
"conversing",NA,"X"
"conversation",NA,"X"
"conversations",NA,"X"
"conversed",NA,"X"
"converses",NA,"X"
"conversing",NA,"X"
"cooperate",NA,"X"
"cooperates",NA,"X"
"cooperated",NA,"X"
"cooperating",NA,"X"
"cooperation",NA,"X"
"cooperative",NA,"X"
"counsel",NA,"X"
"counsels",NA,"X"
"counseled",NA,"X"
"counseling",NA,"X"
"courteous",NA,"X"
"courteously",NA,"X"
"crew",NA,"X"
"decide","X",NA
"decides","X",NA
"decided","X",NA
"deciding","X",NA
"decision","X",NA
"decisions","X",NA
"decisive","X",NA
"decisively","X",NA
"defeat","X",NA
"defeats","X",NA
"defeated","X",NA
"defeating","X",NA
"deliberate","X",NA
"deliberates","X",NA
"deliberated","X",NA
"deliberating","X",NA
"democracy",NA,"X"
"democratic",NA,"X"
"democratically",NA,"X"
"democrat",NA,"X"
"democrats",NA,"X"
"dependable","X",NA
"determine","X",NA
"determines","X",NA
"determined","X",NA
"determining","X",NA
"determination","X",NA
"dialogue",NA,"X"
"dialogues",NA,"X"
"difficult","X",NA
"difficultly","X",NA
"discuss",NA,"X"
"discusses",NA,"X"
"discussed",NA,"X"
"discussing",NA,"X"
"do","X",NA
"does","X",NA
"did","X",NA
"doing","X",NA
"eager","X",NA
"eagerly","X",NA
"earn","X",NA
"earns","X",NA
"earned","X",NA
"earning","X",NA
"easiness","X",NA
"easy","X",NA
"educate",NA,"X"
"educates",NA,"X"
"educated",NA,"X"
"educating",NA,"X"
"education",NA,"X"
"effective","X",NA
"effectively","X",NA
"efficient","X",NA
"efficiently","X",NA
"effort","X",NA
"efforts","X",NA
"empathy",NA,"X"
"empathetic",NA,"X"
"empathetically",NA,"X"
"empathize",NA,"X"
"empathizes",NA,"X"
"empathized",NA,"X"
"empathizing",NA,"X"
"empowered","X",NA
"enact","X",NA
"enacts","X",NA
"enacted","X",NA
"enacting","X",NA
"endeavor","X",NA
"endeavors","X",NA
"endeavored","X",NA
"endeavoring","X",NA
"equitable",NA,"X"
"equitably",NA,"X"
"establish","X",NA
"establishes","X",NA
"established","X",NA
"establishing","X",NA
"establishment","X",NA
"exact","X",NA
"exactly","X",NA
"expert","X",NA
"experts","X",NA
"expertise","X",NA
"expertly","X",NA
"fail","X",NA
"fails","X",NA
"failed","X",NA
"failing","X",NA
"failure","X",NA
"failures","X",NA
"familial",NA,"X"
"families",NA,"X"
"family",NA,"X"
"family's",NA,"X"
"familys'",NA,"X"
"fellow",NA,"X"
"fellows",NA,"X"
"festive",NA,"X"
"festively",NA,"X"
"fluent","X",NA
"fluently","X",NA
"forgave",NA,"X"
"forgive",NA,"X"
"forgives",NA,"X"
"forgave",NA,"X"
"forgiving",NA,"X"
"forgiven",NA,"X"
"forgiveness",NA,"X"
"fraternity",NA,"X"
"fraternities",NA,"X"
"fraternal",NA,"X"
"freedom","X",NA
"freely","X",NA
"friend",NA,"X"
"friends",NA,"X"
"friendly",NA,"X"
"friendship",NA,"X"
"friendships",NA,"X"
"generous",NA,"X"
"generously",NA,"X"
"generosity",NA,"X"
"generous",NA,"X"
"generously",NA,"X"
"generosity",NA,"X"
"goal","X",NA
"goals","X",NA
"grateful",NA,"X"
"gratefully",NA,"X"
"gratitude",NA,"X"
"gregarious",NA,"X"
"group",NA,"X"
"groups",NA,"X"
"guidance",NA,"X"
"guide",NA,"X"
"guides",NA,"X"
"guided",NA,"X"
"guiding",NA,"X"
"harmony",NA,"X"
"harmonious",NA,"X"
"harmoniously",NA,"X"
"harmonize",NA,"X"
"harmonizes",NA,"X"
"harmonized",NA,"X"
"harmonizing",NA,"X"
"help",NA,"X"
"helps",NA,"X"
"helped",NA,"X"
"helping",NA,"X"
"honest",NA,"X"
"honestly",NA,"X"
"hospitable",NA,"X"
"hospitably",NA,"X"
"hospitality",NA,"X"
"hospitality",NA,"X"
"human",NA,"X"
"humans",NA,"X"
"impartial",NA,"X"
"impartially",NA,"X"
"impartiality",NA,"X"
"important","X",NA
"importantly","X",NA
"importance","X",NA
"inclusive",NA,"X"
"inclusively",NA,"X"
"inclusion",NA,"X"
"include",NA,"X"
"includes",NA,"X"
"included",NA,"X"
"including",NA,"X"
"independent","X",NA
"independently","X",NA
"independence","X",NA
"individualist","X",NA
"insight","X",NA
"insights","X",NA
"intent","X",NA
"intention","X",NA
"intentions","X",NA
"intentional","X",NA
"intentionally","X",NA
"interpersonal",NA,"X"
"intimate",NA,"X"
"intimately",NA,"X"
"intuition","X",NA
"intuitive","X",NA
"intuitively","X",NA
"intuition","X",NA
"justice",NA,"X"
"justly",NA,"X"
"keen","X",NA
"keenly","X",NA
"keenness","X",NA
"kin",NA,"X"
"kind",NA,"X"
"kindly",NA,"X"
"kindness",NA,"X"
"kinship",NA,"X"
"know","X",NA
"knows","X",NA
"knowing","X",NA
"knew","X",NA
"known","X",NA
"law",NA,"X"
"lawful",NA,"X"
"laws",NA,"X"
"learn",NA,"X"
"learns",NA,"X"
"learned",NA,"X"
"learning",NA,"X"
"learner",NA,"X"
"learners",NA,"X"
"liberties","X",NA
"liberty","X",NA
"logic","X",NA
"logical","X",NA
"logically","X",NA
"loner","X",NA
"love",NA,"X"
"loves",NA,"X"
"loved",NA,"X"
"loving",NA,"X"
"loving",NA,"X"
"loyal",NA,"X"
"loyally",NA,"X"
"made","X",NA
"magnanimous",NA,"X"
"make","X",NA
"makes","X",NA
"made","X",NA
"making","X",NA
"marriage",NA,"X"
"marriages",NA,"X"
"master","X",NA
"masters","X",NA
"mastered","X",NA
"mastering","X",NA
"mastery","X",NA
"mastered","X",NA
"matrimony",NA,"X"
"member",NA,"X"
"members",NA,"X"
"middle ground",NA,"X"
"mingle",NA,"X"
"mingles",NA,"X"
"mingled",NA,"X"
"mingling",NA,"X"
"motivate","X",NA
"motivates","X",NA
"motivated","X",NA
"motivating","X",NA
"motivation","X",NA
"motivational","X",NA
"mutual",NA,"X"
"need","X",NA
"needs","X",NA
"needed","X",NA
"needing","X",NA
"negotiate",NA,"X"
"negotiates",NA,"X"
"negotiated",NA,"X"
"negotiating",NA,"X"
"neighbor",NA,"X"
"neighbors",NA,"X"
"nurture",NA,"X"
"nurtures",NA,"X"
"nurtured",NA,"X"
"nurturing",NA,"X"
"nurturant",NA,"X"
"objective","X",NA
"objectives","X",NA
"objectively","X",NA
"objectivity","X",NA
"obtain","X",NA
"obtains","X",NA
"obtained","X",NA
"obtaining","X",NA
"offer",NA,"X"
"offers",NA,"X"
"offered",NA,"X"
"offering",NA,"X"
"oneness",NA,"X"
"open-minded",NA,"X"
"opportunity","X",NA
"opportunities","X",NA
"our",NA,"X"
"ours",NA,"X"
"overcame","X",NA
"overcome","X",NA
"overcomes","X",NA
"overcame","X",NA
"overcoming","X",NA
"pal",NA,"X"
"pals",NA,"X"
"participate",NA,"X"
"participates",NA,"X"
"participated",NA,"X"
"participating",NA,"X"
"participation",NA,"X"
"participant",NA,"X"
"participants",NA,"X"
"partied",NA,"X"
"parties",NA,"X"
"partner",NA,"X"
"partners",NA,"X"
"partnered",NA,"X"
"partnering",NA,"X"
"partnership",NA,"X"
"partnerships",NA,"X"
"party",NA,"X"
"parties",NA,"X"
"persevere","X",NA
"perseveres","X",NA
"persevered","X",NA
"persevering","X",NA
"persist","X",NA
"persists","X",NA
"persisted","X",NA
"persisting","X",NA
"persistence","X",NA
"persistent","X",NA
"philanthropy",NA,"X"
"philanthropic",NA,"X"
"pioneer","X",NA
"pioneers","X",NA
"pioneered","X",NA
"pioneering","X",NA
"pluralism",NA,"X"
"polite",NA,"X"
"politely",NA,"X"
"politeness",NA,"X"
"practice","X",NA
"practices","X",NA
"practiced","X",NA
"practicing","X",NA
"practical","X",NA
"practically","X",NA
"pragmatic","X",NA
"pragmatically","X",NA
"prevail","X",NA
"prevails","X",NA
"prevailed","X",NA
"prevailing","X",NA
"pride","X",NA
"prideful","X",NA
"prioritize","X",NA
"prioritizes","X",NA
"prioritized","X",NA
"prioritizing","X",NA
"priority","X",NA
"priorities","X",NA
"proactive","X",NA
"productive","X",NA
"productively","X",NA
"productivity","X",NA
"produce","X",NA
"produces","X",NA
"produced","X",NA
"producing","X",NA
"productivity","X",NA
"proficient","X",NA
"proficiently","X",NA
"prosper","X",NA
"prospers","X",NA
"prospered","X",NA
"prospering","X",NA
"prosperity","X",NA
"prosperous","X",NA
"proud","X",NA
"public",NA,"X"
"publicly",NA,"X"
"purpose","X",NA
"purposes","X",NA
"purposeful","X",NA
"purposefully","X",NA
"pursue","X",NA
"pursues","X",NA
"pursued","X",NA
"pursuing","X",NA
"rational","X",NA
"rationally","X",NA
"rationality","X",NA
"rationalize","X",NA
"rationalizes","X",NA
"rationalized","X",NA
"rationalizing","X",NA
"realize","X",NA
"realizes","X",NA
"realized","X",NA
"realizing","X",NA
"rebel","X",NA
"rebels","X",NA
"rebelled","X",NA
"rebelling","X",NA
"rebellion","X",NA
"rebellious","X",NA
"reciprocate",NA,"X"
"reciprocates",NA,"X"
"reciprocated",NA,"X"
"reciprocating",NA,"X"
"reciprocity",NA,"X"
"reciprocal",NA,"X"
"recognize","X",NA
"recognizes","X",NA
"recognized","X",NA
"recognizing","X",NA
"recommend",NA,"X"
"recommends",NA,"X"
"recommended",NA,"X"
"recommending",NA,"X"
"reconcile",NA,"X"
"reconciles",NA,"X"
"reconciled",NA,"X"
"reconciling",NA,"X"
"relationship",NA,"X"
"relationships",NA,"X"
"relate",NA,"X"
"relates",NA,"X"
"related",NA,"X"
"relating",NA,"X"
"reliable","X",NA
"reliably","X",NA
"reliability","X",NA
"rely","X",NA
"relies","X",NA
"relied","X",NA
"relying","X",NA
"reputation","X",NA
"reputations","X",NA
"request",NA,"X"
"requests",NA,"X"
"requested",NA,"X"
"requesting",NA,"X"
"resilient","X",NA
"resiliently","X",NA
"resilience","X",NA
"resolute","X",NA
"resolutely","X",NA
"resolution","X",NA
"resolution","X",NA
"resolve","X",NA
"resolves","X",NA
"resolved","X",NA
"resolving","X",NA
"respect",NA,"X"
"respects",NA,"X"
"respected",NA,"X"
"respecting",NA,"X"
"responsible","X",NA
"responsibly","X",NA
"responsibility","X",NA
"responsibilities","X",NA
"reward","X",NA
"rewards","X",NA
"rewarded","X",NA
"rewarding","X",NA
"risk","X",NA
"risks","X",NA
"ritual",NA,"X"
"rituals",NA,"X"
"roommate",NA,"X"
"roommates",NA,"X"
"sacrifice",NA,"X"
"sacrifices",NA,"X"
"sacrificed",NA,"X"
"sacrificing",NA,"X"
"savvy","X",NA
"score","X",NA
"scores","X",NA
"scored","X",NA
"scoring","X",NA
"self","X",NA
"self-aware","X",NA
"self-confident","X",NA
"self-control","X",NA
"self-respect","X",NA
"self-reliant","X",NA
"self-sufficient","X",NA
"selfless",NA,"X"
"selflessly",NA,"X"
"selflessness",NA,"X"
"service",NA,"X"
"services",NA,"X"
"serviced",NA,"X"
"servicing",NA,"X"
"share",NA,"X"
"shares",NA,"X"
"shared",NA,"X"
"sharing",NA,"X"
"should","X",NA
"significant","X",NA
"significantly","X",NA
"significance","X",NA
"signify","X",NA
"signifies","X",NA
"signified","X",NA
"signifying","X",NA
"sincere",NA,"X"
"sincerely",NA,"X"
"sincerity",NA,"X"
"skill","X",NA
"skilled","X",NA
"skillful","X",NA
"skillfully","X",NA
"skill","X",NA
"skills","X",NA
"skilled","X",NA
"skill","X",NA
"skills","X",NA
"smart","X",NA
"smartly","X",NA
"social",NA,"X"
"socially",NA,"X"
"society",NA,"X"
"societies",NA,"X"
"socialize",NA,"X"
"socializes",NA,"X"
"socialized",NA,"X"
"socializing",NA,"X"
"society",NA,"X"
"societies",NA,"X"
"solidarity",NA,"X"
"sorority",NA,"X"
"sororities",NA,"X"
"squad",NA,"X"
"steadfast","X",NA
"strive","X",NA
"strives","X",NA
"strived","X",NA
"striving","X",NA
"striving","X",NA
"struggle","X",NA
"struggles","X",NA
"struggled","X",NA
"struggling","X",NA
"stubborn","X",NA
"succeed","X",NA
"succeeds","X",NA
"succeeded","X",NA
"succeeding","X",NA
"success","X",NA
"successful","X",NA
"successfully","X",NA
"success","X",NA
"successes","X",NA
"suggest",NA,"X"
"suggests",NA,"X"
"suggested",NA,"X"
"suggesting",NA,"X"
"support",NA,"X"
"supports",NA,"X"
"supported",NA,"X"
"supporting",NA,"X"
"supportive",NA,"X"
"supportively",NA,"X"
"sure","X",NA
"sympathize",NA,"X"
"sympathizes",NA,"X"
"sympathized",NA,"X"
"sympathizing",NA,"X"
"sympathy",NA,"X"
"sympathetic",NA,"X"
"take","X",NA
"takes","X",NA
"took","X",NA
"taking","X",NA
"talk",NA,"X"
"talks",NA,"X"
"talked",NA,"X"
"talking",NA,"X"
"taught",NA,"X"
"teach",NA,"X"
"teaches",NA,"X"
"taught",NA,"X"
"teaching",NA,"X"
"teacher",NA,"X"
"teachers",NA,"X"
"team",NA,"X"
"teams",NA,"X"
"teamwork",NA,"X"
"tenacious","X",NA
"tenaciously","X",NA
"tenacity","X",NA
"thank",NA,"X"
"thanks",NA,"X"
"thanked",NA,"X"
"thanking",NA,"X"
"think","X",NA
"thinks","X",NA
"thought","X",NA
"thinking","X",NA
"thinker","X",NA
"thoughtful","X",NA
"thoughtfully","X",NA
"thought","X",NA
"together",NA,"X"
"took","X",NA
"tradition",NA,"X"
"traditions",NA,"X"
"traditional",NA,"X"
"traditionally",NA,"X"
"treatise",NA,"X"
"treatises",NA,"X"
"treaty",NA,"X"
"tribe",NA,"X"
"tribes",NA,"X"
"tried","X",NA
"tries","X",NA
"triumph","X",NA
"triumphs","X",NA
"triumphed","X",NA
"triumphing","X",NA
"trust",NA,"X"
"trusts",NA,"X"
"trusted",NA,"X"
"trusting",NA,"X"
"trustworthy",NA,"X"
"trustworthiness",NA,"X"
"truth",NA,"X"
"truths",NA,"X"
"truthful",NA,"X"
"truthfully",NA,"X"
"truthfulness",NA,"X"
"trying","X",NA
"unaided","X",NA
"unanimous",NA,"X"
"unanimously",NA,"X"
"unanimity",NA,"X"
"unify",NA,"X"
"unifies",NA,"X"
"unified",NA,"X"
"unifying",NA,"X"
"unite",NA,"X"
"unites",NA,"X"
"united",NA,"X"
"uniting",NA,"X"
"uniting",NA,"X"
"unity",NA,"X"
"unselfish",NA,"X"
"unselfishly",NA,"X"
"unselfishness",NA,"X"
"unyielding","X",NA
"us",NA,"X"
"vanquish","X",NA
"vanquishes","X",NA
"vanquished","X",NA
"vanquishing","X",NA
"victor","X",NA
"victors","X",NA
"victory","X",NA
"victories","X",NA
"victorious","X",NA
"victoriously","X",NA
"volunteer",NA,"X"
"volunteers",NA,"X"
"volunteered",NA,"X"
"volunteering",NA,"X"
"voluntary",NA,"X"
"voluntarily",NA,"X"
"we",NA,"X"
"welcome",NA,"X"
"welcomes",NA,"X"
"welcomed",NA,"X"
"welcoming",NA,"X"
"welfare",NA,"X"
"will","X",NA
"willing","X",NA
"willpower","X",NA
"win","X",NA
"wins","X",NA
"won","X",NA
"winning","X",NA
"winner","X",NA
"winners","X",NA
"wit","X",NA
"wits","X",NA
"witting","X",NA
"won","X",NA
"won't","X",NA
"you","X",NA
"you","X",NA
"your","X",NA
"yours","X",NA
"yourself","X",NA
"your","X",NA
"yours","X",NA
"yourself","X",NA
